키워드,네이버검색량,PC,모바일,경쟁정도,추이지수,추이,월별추이
골프 골프공,10,5,5,높음,,,
골프 장화,100,10,90,높음,23.5,급하락,41.6|89.1|52.0|37.6|100|96.8|5.0|2.3|2.3|23.5
결혼식 하객 앞치마,10,5,5,낮음,,,
남자친구 크림,10,5,5,낮음,,,
데일리 셔츠,180,30,150,높음,59.7,급상승,25.8|17.2|5.0|11.8|32.1|15.4|2.3|7.2|43.4|28.5|59.7
골프 구명조끼,10,5,5,낮음,,,
데일리 우비,10,5,5,높음,,,
요가 앞치마,10,5,5,낮음,,,
골프 스니커즈,55,5,50,높음,28.9,급상승,37.8|80|13.3|28.9|22.2|11.1|44.4|44.4|51.1|15.6|42.2|100|28.9
러닝 원피스,15,5,10,높음,11.1,유지,11.1
결혼식 하객 바람막이,10,5,5,낮음,,,
요가 바람막이,35,5,30,높음,0.4,급하락,3.0|0.6|0.4|1.8|0.4
장례식 슬리퍼,25,5,20,높음,0.2,유지,0.3|0.2
장례식 캐리어,10,5,5,낮음,,,
여름 플랫슈즈,3840,470,3370,높음,100,급하락,50.2|80.9|59.8|14.2|1.5|0.3|0.4|2.2|37.1|100
러닝 뮬,10,5,5,높음,,,
골프 로스트볼,1230,270,960,높음,73.4,유지,100|57.2|57.5|61.9|60|48.2|69.1|64.7|29.2|38.5|59.7|79.8|73.4
데일리 로퍼,45,5,40,높음,1.6,급하락,11.1|3.6|0.3|1.1|1.6|1.6|0.3|0.3|0.4|1.6|2.8|1.6
결혼식 하객 기내용캐리어,10,5,5,낮음,,,
여름 우비,910,250,660,높음,34.2,급하락,75.9|94.3|42.9|16.0|5.8|6.7|0.3|0.5|4.4|13.2|34.2
등산 원피스,55,5,50,높음,0.4,급하락,1.5|1.7|1.0|0.5|0.5|0.8|0.4
결혼식 하객 슬링백,10,5,5,낮음,,,
데일리 반팔블라우스,10,5,5,낮음,,,
골프 플랫슈즈,10,5,5,낮음,,,
러닝 슬리퍼,190,20,170,중간,49.7,급하락,72|56|73.7|100|69.7|53.1|24.6|2.9|8.6|6.3|49.1|60|49.7
데일리 반팔셔츠,10,5,5,높음,,,
장례식 샌들,25,5,20,낮음,0.1,유지,0.1
등산 뮬,10,5,5,낮음,0.0,유지,0.0
결혼식 하객 장화,10,5,5,낮음,,,
친구 생일 시계,10,5,5,낮음,,,
골프 우비,3100,610,2490,중간,18.4,급하락,36.2|45.9|17.5|11.9|23.6|27.6|6.4|4.4|1.9|100|10.7|15.9|18.4
요가 골프공,10,5,5,낮음,,,
요가 장화,10,5,5,낮음,,,
결혼식 하객 구명조끼,10,5,5,낮음,,,
엄마 크림,35,5,30,높음,26.3,급하락,100|31.6|52.6|31.6|78.9|26.3|84.2|26.3
결혼식 하객 스니커즈,10,5,5,낮음,,,
결혼식 하객 티셔츠,15,5,10,높음,,,
요가 구명조끼,10,5,5,낮음,,,
오피스 뮬,10,5,5,높음,,,
요가 스니커즈,10,5,5,낮음,,,
데일리 슬랙스,25,5,20,높음,100,유지,100
골프 구두,35,5,30,높음,0.6,하락,0.8|0.4|1.0|0.6
요가 티셔츠,990,100,890,중간,67.6,하락,73.1|100|74.2|70.8|66.4|51.8|54.5|42.8|59.5|50.3|75.5|77.2|67.6
여름 반팔블라우스,990,170,820,높음,62.4,급하락,52.0|79.1|83.2|40.4|8.3|1.4|0.9|0.4|0.9|3.6|12.9|21.1|62.4
골프 남성골프화,10,5,5,낮음,,,
결혼식 하객 파우치,10,5,5,낮음,,,
등산 슬리퍼,210,40,170,중간,10.3,급하락,8.6|11.0|10.1|8.6|2.5|0.5|0.7|1.8|3.6|10.3
여름 반팔셔츠,1180,200,980,높음,67.1,급하락,65.0|100|98.8|37.8|4.0|0.4|1.2|0.3|2.7|3.8|33.8|67.1
여자친구 시계,65,5,60,높음,0.7,급하락,1.4|1.4|0.7|0.8|0.4|0.3|0.3|0.3|0.4|0.6|0.7
골프 로퍼,10,5,5,높음,0.3,유지,0.3|0.3
아빠 크림,15,5,10,중간,0.6,급상승,0.3|0.3|1.2|0.8|0.5|1.8|0.3|0.8|1.4|0.6
결혼식 하객 보스턴백,10,5,5,낮음,,,
요가 로스트볼,10,5,5,낮음,,,
결혼식 하객 토트백,10,5,5,낮음,,,
오피스 슬리퍼,120,40,80,높음,35.1,상승,58.8|55.3|36.8|9.6|29.8|24.6|4.4|29.8|20.2|26.3|37.7|100|35.1
헬스 원피스,10,5,5,높음,,,
요가 거리측정기,10,5,5,낮음,,,
하객 뮬,15,5,10,높음,,,
골프 반팔블라우스,10,5,5,낮음,,,
장례식 아쿠아슈즈,10,5,5,낮음,,,
장례식 백팩,10,5,5,높음,,,
결혼식 하객 숄더백,10,5,5,높음,,,
결혼식 하객 플랫슈즈,10,5,5,낮음,,,
골프 반팔셔츠,70,10,60,높음,8.9,급하락,67.9|100|87.5|37.5|8.9|8.9
요가 플랫슈즈,10,5,5,낮음,,,
장례식 에코백,10,5,5,낮음,,,
헬스 뮬,10,5,5,높음,,,
장례식 크로스백,10,5,5,낮음,,,
결혼식 하객 우비,10,5,5,낮음,,,
요가 아이언,10,5,5,낮음,,,
하객 슬리퍼,15,5,10,높음,,,
하객 캐리어,10,5,5,낮음,,,
결혼식 하객 바지,15,5,10,높음,7.9,유지,7.9
요가 셔츠,45,5,40,높음,14.6,급상승,5.6|6.7|5.6|5.6|14.6
남자친구 시계,160,10,150,높음,100,급상승,19.1|11.2|6.7|12.4|21.3|58.4|29.2|11.2|12.4|50.6|100
요가 우비,10,5,5,낮음,,,
골프 슬랙스,120,20,100,높음,42.4,급상승,27.2|9.8|2.7|6.0|28.8|18.5|14.1|3.3|16.3|51.1|100|42.4
오피스 샌들,70,10,60,높음,6.5,유지,8.2|6.5
러닝 아쿠아슈즈,15,5,10,높음,2.7,유지,2.7
비치 뮬,10,5,5,중간,,,
어버이날 크림,10,5,5,낮음,,,
