키워드,검색량,네이버검색량,추이,난이도,섹션,패션,LF몰,W컨셉,한섬,SSF샵,SI빌리지,Status,순위,우선순위
드레스셔츠,0,1050,하락,,의류,Y,0,0,0,0,0,미수집,94,94순위
카라넥,0,170,급상승,,의류,Y,0,0,0,0,0,미수집,120,120순위
정장세트,0,640,상승,,의류,Y,0,0,0,0,0,미수집,102,102순위
정장상의,0,160,하락,,의류,Y,0,0,0,0,0,미수집,121,121순위
정장하의,0,15,,,의류,Y,0,0,0,0,0,미수집,132,132순위
캐주얼 셋업,90,80,급하락,,의류,Y,0,0,0,0,0,미수집,125,125순위
드로즈,5400,4760,급하락,,언더웨어,Y,0,0,0,0,0,미수집,13,13순위
브리프,3600,3620,급하락,,언더웨어,Y,0,0,0,0,0,미수집,14,14순위
트렁크,9900,11550,급하락,,언더웨어,Y,0,0,0,0,0,미수집,8,8순위
내복,1900,2160,급하락,,언더웨어,Y,0,0,0,0,0,미수집,17,17순위
모시,1600,4060,급하락,,의류,Y,0,0,0,0,0,미수집,63,63순위
래쉬가드,0,65200,급하락,,수영/비치,Y,0,0,0,0,0,미수집,2,2순위
남성수영복,0,4270,급하락,,수영/비치,Y,0,0,0,0,0,미수집,16,16순위
토트백,9900,26220,하락,19,가방,Y,0,2,0,46,0,Missing,6,6순위
숄더백,3600,24790,유지,,가방,Y,0,0,0,0,0,미수집,10,10순위
크로스백,0,70670,급하락,16,가방,Y,0,16,0,0,0,Missing,1,1순위
백팩,9900,75800,하락,20,가방,Y,0,0,0,24,0,Missing,2,2순위
캔버스,8100,18570,하락,,가방,Y,0,0,0,0,0,미수집,14,14순위
에코백,0,71400,급하락,10,가방,Y,26,3,0,0,0,Weak,4,4순위
보스톤백,5400,10,하락,,가방,Y,0,0,0,0,0,미수집,26,26순위
슬링백,0,35690,급하락,,가방,Y,0,0,0,0,0,미수집,7,7순위
클러치,4400,4950,급하락,,가방,Y,0,0,0,0,0,미수집,22,22순위
파우치,6600,28650,하락,,가방,Y,0,0,0,0,0,미수집,8,8순위
여행가방,0,15930,급하락,,가방,Y,0,0,0,0,0,미수집,15,15순위
스트랩,6600,14720,급하락,,액세서리,Y,0,0,0,0,0,미수집,19,19순위
반지갑,1600,5660,하락,,지갑/벨트,Y,0,0,0,0,0,미수집,10,10순위
중지갑,170,440,급하락,,지갑/벨트,Y,0,0,0,0,0,미수집,13,13순위
장지갑,1000,4670,하락,,지갑/벨트,Y,0,0,0,0,0,미수집,12,12순위
명함,22200,38800,하락,,문구,N,0,0,0,0,0,미수집,0,
카드지갑,0,64700,하락,,문구,N,0,0,0,0,0,미수집,0,
동전지갑,0,6130,급하락,,지갑/벨트,Y,0,0,0,0,0,미수집,9,9순위
머니클립,0,4820,유지,,지갑/벨트,Y,0,0,0,0,0,미수집,11,11순위
여권지갑,0,6600,유지,,지갑/벨트,Y,0,0,0,0,0,미수집,7,7순위
서류가방,0,9280,급하락,,가방,Y,0,0,0,0,0,미수집,18,18순위
클러치백,0,8020,급하락,,가방,Y,0,0,0,0,0,미수집,19,19순위
캐리어,18100,121400,급하락,,가방,Y,0,0,0,0,0,미수집,5,5순위
버킷햇,0,26310,급하락,,액세서리,Y,0,0,0,0,0,미수집,14,14순위
비니,8100,6570,급상승,27,액세서리,Y,0,0,0,23,0,Missing,16,16순위
군모,1300,2030,유지,,액세서리,Y,0,0,0,0,0,미수집,38,38순위
헌팅캡,2400,4090,하락,,액세서리,Y,0,0,0,0,0,미수집,32,32순위
스냅백,0,7780,급하락,,액세서리,Y,0,0,0,0,0,미수집,26,26순위
야구모자,0,9150,하락,,액세서리,Y,0,0,0,0,0,미수집,25,25순위
썬캡,1900,31270,급하락,,액세서리,Y,0,0,0,0,0,미수집,13,13순위
우산,9900,42700,급하락,,액세서리,Y,0,0,0,0,0,미수집,10,10순위
양산,12100,155900,급하락,,액세서리,Y,0,0,0,0,0,미수집,5,5순위
스카프,5400,20630,급상승,23,액세서리,Y,0,56,0,0,0,Missing,6,6순위
머플러,5400,2980,급상승,,액세서리,Y,0,0,0,0,0,미수집,34,34순위
양말세트,0,970,급하락,,액세서리,Y,0,0,0,0,0,미수집,39,39순위
양말,12100,61100,유지,18,액세서리,Y,0,5,0,0,0,Missing,2,2순위
스타킹,18100,9900,급상승,24,액세서리,Y,0,0,0,0,20,Missing,12,12순위
장갑,5400,12040,유지,,액세서리,Y,0,0,0,0,0,미수집,21,21순위
워머,1600,5450,유지,,액세서리,Y,0,0,0,0,0,미수집,30,30순위
프리미엄시계,0,115,상승,,주얼리/시계,Y,0,0,0,0,0,미수집,27,27순위
패션시계,0,720,급하락,,주얼리/시계,Y,0,0,0,0,0,미수집,25,25순위
시계 소품,0,15,급하락,,주얼리/시계,Y,0,0,0,0,0,미수집,31,31순위
명품주얼리,0,2880,하락,,주얼리/시계,Y,0,0,0,0,0,미수집,22,22순위
브랜드주얼리,0,35,상승,,주얼리/시계,Y,0,0,0,0,0,미수집,29,29순위
순금,2400,17700,급하락,,주얼리/시계,Y,0,0,0,0,0,미수집,8,8순위
실버,3600,5280,하락,,주얼리/시계,Y,0,0,0,0,0,미수집,16,16순위
손수건,2900,19180,급하락,,액세서리,Y,0,0,0,0,0,미수집,17,17순위
와펜,4400,12190,급하락,,액세서리,Y,0,0,0,0,0,미수집,20,20순위
기타소품,0,35,급상승,,리빙/홈,N,0,0,0,0,0,미수집,0,
커프스,1900,3590,급상승,,주얼리/시계,Y,0,0,0,0,0,미수집,20,20순위
귀마개,6600,10170,하락,,액세서리,Y,0,0,0,0,0,미수집,22,22순위
깔창,2400,13480,급하락,,신발,Y,0,0,0,0,0,미수집,16,16순위
멜빵,3600,3890,급하락,,액세서리,Y,0,0,0,0,0,미수집,33,33순위
서스펜더,1300,2290,유지,,액세서리,Y,0,0,0,0,0,미수집,37,37순위
IT소품,0,10,,,리빙/홈,N,0,0,0,0,0,미수집,0,
여행용파우치,0,7940,급하락,,가방,Y,0,0,0,0,0,미수집,20,20순위
여행소품,0,90,급하락,,리빙/홈,N,0,0,0,0,0,미수집,0,
남성시계,0,4570,하락,,주얼리/시계,Y,0,0,0,0,0,미수집,18,18순위
여성시계,0,10190,하락,,주얼리/시계,Y,0,0,0,0,0,미수집,11,11순위
공용시계,0,10,,,주얼리/시계,Y,0,0,0,0,0,미수집,32,32순위
아동시계,0,380,상승,,유아동,N,0,0,0,0,0,미수집,0,
시계보관함,0,7870,급상승,,주얼리/시계,Y,0,0,0,0,0,미수집,14,14순위
워치와인더,0,3420,하락,,주얼리/시계,Y,0,0,0,0,0,미수집,21,21순위
